year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,US,UT,VA,VT,WA,WI,WV,WY
1989,0,0,0,0,631,199,0,0,0,0,0,0,31619,822,54316,9682,3489,0,0,0,0,0,0,1637,0,0,275,0,2805,1793,0,0,1936,0,0,7579,0,0,0,0,0,1119,5993,64,125377,0,645,0,771,0,0,0
1990,0,0,0,0,529,167,0,0,0,0,0,0,31510,689,45495,8110,2923,0,0,0,0,0,0,1631,0,0,230,0,2349,1891,0,0,1622,0,0,6348,0,0,0,0,0,1115,5020,54,110868,0,540,0,646,0,0,0
1991,0,0,0,0,618,195,0,0,0,0,0,0,35090,805,53189,9481,3417,0,0,0,0,0,0,2512,0,0,269,0,2747,1928,0,0,1896,0,0,7422,0,0,0,0,0,1111,5869,63,127999,0,631,0,755,0,0,0
1992,0,0,0,0,651,174,0,0,0,0,0,0,44163,717,60682,8437,3041,0,0,0,0,0,0,5152,0,0,240,0,2444,3393,0,0,1687,0,0,6605,0,0,0,0,0,1107,5223,56,145006,0,562,0,672,0,0,0
1993,0,0,0,0,686,189,0,0,0,0,0,0,55011,720,66004,9177,4379,0,0,0,0,0,0,5574,0,0,0,0,2791,7573,0,0,1835,0,0,7184,0,0,0,0,0,1201,5681,0,169336,0,598,0,731,0,0,0
1994,0,0,0,0,754,175,0,0,0,0,0,0,61972,877,69836,10188,4727,0,0,0,0,0,0,5993,0,0,249,0,2992,11539,0,0,1727,0,0,8434,0,0,0,0,0,1888,5427,0,188391,0,572,0,698,0,0,344
1995,0,0,0,0,725,165,0,0,0,0,0,0,61754,828,66903,9730,4450,0,0,0,0,0,0,7428,0,0,211,0,2896,27842,0,0,1625,0,0,3970,0,0,0,0,0,1882,5319,0,197737,0,484,0,599,583,0,345
1996,0,0,0,0,298,66,0,0,0,0,0,0,61537,333,27378,3970,1790,0,0,0,0,0,0,10014,0,0,75,0,1197,28756,0,0,653,0,0,0,0,0,0,0,0,1875,2224,0,141284,0,173,0,217,581,0,147
1997,0,0,0,0,526,114,0,0,0,0,0,0,61319,577,48244,6975,3101,0,0,0,0,0,0,16197,0,0,114,0,2128,38727,0,0,1131,0,0,0,0,0,0,0,0,1712,4001,0,186315,0,263,0,336,578,0,270
1998,0,0,0,0,620,132,0,0,0,0,0,0,61101,666,56682,8172,3584,0,0,0,0,0,0,17869,0,0,113,0,2523,41288,0,0,1306,0,0,0,0,0,0,0,0,2117,4792,0,202474,0,260,0,342,576,0,330
1999,0,0,0,0,576,120,0,0,0,0,0,0,63315,606,52422,7537,3261,0,0,0,0,0,0,27340,0,0,86,0,2353,43923,0,0,1187,0,0,0,0,0,0,0,0,2212,4515,0,210809,0,197,0,268,576,0,316
2000,0,0,0,0,691,141,0,0,0,0,0,0,63232,714,62766,9000,3842,0,0,0,0,0,0,31616,1394,0,81,0,2841,46154,0,0,1398,0,0,0,0,0,0,0,0,2357,5501,0,233146,0,186,0,266,575,0,391
2001,0,0,0,0,777,151,0,0,0,1,0,0,63836,769,69006,9816,4135,26,0,0,0,0,0,36168,3501,0,65,0,3131,50496,0,0,1504,0,0,0,0,0,1,0,0,3559,6116,0,254453,0,150,0,232,574,0,440
