year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,US,UT,VA,VT,WA,WI,WV,WY
1989,24679,680322,1571,263538,492,365336,0,0,0,0,0,0,8796,0,1323209,747397,18431,4220066,40917,0,84480,0,0,0,70849,0,677753,0,386817,0,0,0,444915,0,0,787935,43169,0,1822907,0,0,0,162633,675280,21517324,459838,1155118,0,81690,0,3996483,2972702
1990,26614,707762,1324,249018,732,404530,0,0,0,0,0,0,7717,0,1350262,797305,17410,4414362,43844,0,88005,0,0,0,55957,0,678342,0,387651,0,0,0,454214,0,0,826283,42166,0,1831440,0,0,0,156330,706720,22761184,511406,1276214,0,81056,0,4450036,3194482
1991,22402,662161,1167,290251,684,384207,0,0,0,0,0,0,6771,0,1350461,700941,10056,4054871,43663,0,95423,0,0,0,48500,0,688453,0,386837,0,0,0,400542,0,0,720901,47806,0,1701624,0,0,0,108022,674067,21869054,507979,1131253,0,82320,0,4391171,3356524
1992,23930,623932,1302,275298,1236,414384,0,0,0,0,0,0,5674,0,1347558,679062,8855,4112739,45042,0,83956,0,0,0,61054,0,704046,0,413528,0,0,0,457758,0,0,720512,43468,0,1812815,0,0,0,88068,685491,21897732,492997,1159688,0,83184,0,4250361,3301795
1993,24976,600869,987,267527,0,475039,0,0,0,0,0,0,3421,0,929772,654657,8234,3962427,43348,0,84741,0,0,0,14138,0,649268,0,417344,0,0,0,535318,0,0,686182,42011,0,1553125,0,0,0,77469,682967,20358442,506837,1046530,0,74933,0,3382972,3633351
1994,24445,568577,1144,288013,0,554832,0,0,0,0,0,0,899,0,1184962,690819,6945,4107496,47719,0,92886,0,0,0,19038,0,752552,0,422529,0,0,0,533893,0,0,711787,50755,0,1621471,0,0,0,76207,660044,22345526,566914,987555,0,77210,0,4203423,4093410
1995,26489,607150,651,262514,0,565841,0,0,0,0,0,0,0,0,1081872,578143,6861,3910027,50748,0,94134,0,0,0,12532,0,712989,0,395209,0,0,0,507955,0,0,620991,48455,0,1602243,0,0,0,82105,664511,22178769,586398,913518,0,78433,0,4217195,4551803
1996,23104,607031,471,228630,0,547155,0,0,0,0,0,0,0,0,1055469,657833,5592,3860466,44366,0,103074,0,0,0,15711,0,689154,0,393533,0,0,0,452294,0,0,675076,44444,0,1766791,0,0,0,91365,709509,22839407,640410,946719,0,72089,0,4392067,4817051
1997,22620,600683,404,256500,0,598037,0,0,0,0,0,0,0,0,926669,785240,8090,3940216,48648,0,103616,0,0,0,8755,0,740072,0,389550,0,0,0,505578,0,0,689466,40639,0,1982914,0,0,0,82707,687914,23412530,616384,956413,0,71253,0,4464061,4886100
1998,20966,568308,539,247729,0,651411,0,0,0,0,0,0,0,0,900852,812969,7458,3832682,43535,0,100208,0,0,0,8253,0,773038,0,392568,0,0,0,534746,0,0,659398,42071,0,2133532,0,0,0,67036,677016,23917422,600793,905967,0,72809,0,4413049,5450488
1999,24414,477574,494,258148,0,662659,0,0,0,0,0,0,0,0,929031,756640,8957,3502887,41115,0,94392,0,0,0,8621,203,741898,0,407886,0,0,0,547678,0,0,531258,42170,0,1994709,0,0,0,75919,671989,23177242,620369,854725,0,63997,0,4021540,5837971
2000,25600,472699,269,286772,0,648023,0,0,0,0,0,0,0,0,775392,621169,4316,3270194,50408,0,110587,0,0,0,9475,10161,696895,0,408363,0,0,0,513357,0,0,528236,40688,0,1946487,0,0,0,68027,632360,22595116,631270,870044,0,66520,0,4015521,5892281
2001,23618,469962,381,293303,0,741186,0,0,0,0,0,0,0,0,772290,813161,3697,3326940,50817,0,111689,0,0,0,8022,6804,708173,0,398430,0,0,0,554846,0,0,598946,42810,0,1929615,0,0,0,84824,578696,23587925,640594,863870,0,72134,0,4085483,6407633
2002,17878,460201,314,280064,0,788220,0,0,0,0,0,0,0,0,758830,789153,4351,3098985,51958,0,125682,0,0,0,5310,25966,676052,0,401823,0,0,0,543314,0,0,507902,33899,0,1734216,0,0,0,81658,581168,22729814,586926,793381,0,91335,0,3805093,6486135
2003,16864,486363,180,262251,0,801108,0,0,0,0,0,0,0,0,721185,792236,3307,2809836,54642,0,124609,0,0,0,11380,37626,665901,0,402709,0,0,0,490629,0,0,539441,37411,0,1599175,0,0,0,65617,594734,22054837,536150,827937,0,97712,0,3524504,6551331
2004,23587,531179,157,278231,0,889060,0,0,0,0,0,0,0,0,722774,786209,1665,2845496,51659,0,129130,0,0,0,12385,36619,721570,0,392966,0,0,0,510869,0,0,568593,41850,0,1600275,0,0,0,73354,572489,22821746,490146,817769,0,89958,0,3724793,6908962
