year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,US,UT,VA,VT,WA,WI,WV,WY
1989,3967078,114915,65314,795,1920809,177799,0,0,0,42276,0,0,0,0,118192,19204,321813,31401,889111,0,0,0,125094,0,771,158937,121545,0,213115,36134,0,0,398541,18653,2888,59247,681459,0,15648,0,0,9350,3086,3991380,16116872,164807,133,0,0,0,13009,624747
1990,3754392,107520,60239,702,1861034,176627,0,0,0,32915,0,0,0,0,115733,17400,321482,31372,855976,0,0,0,114121,0,847,156797,114898,0,212959,34156,0,0,390050,23264,2407,58046,651183,0,15318,0,0,9558,2935,3935172,15571138,160103,93,0,0,0,12429,602365
1991,3806824,108095,59769,644,1853083,182016,0,0,0,27405,0,0,0,0,110594,17481,330182,31813,853006,0,0,0,101616,0,864,156919,113558,0,208168,33826,0,0,408419,19795,2477,53105,626945,0,14680,0,0,9640,2813,3959173,15700849,141909,75,0,0,0,11385,579582
1992,3638468,110345,59508,545,1771830,172765,0,0,0,31465,0,0,0,0,111957,17493,310955,31778,829835,0,0,0,90358,0,829,146056,107196,0,190785,31749,0,0,405838,21582,2343,53343,590481,0,12395,0,0,9031,2906,3773613,15222860,131776,70,0,0,0,11994,561498
1993,3349471,108327,57855,423,1699922,170508,0,0,0,32503,0,0,0,0,100955,16014,287825,26651,804303,0,0,0,80034,0,783,131155,101198,0,179307,28234,0,0,396848,10904,1943,48036,560425,0,11809,0,0,8700,2430,3590722,14494455,126562,70,0,0,0,11878,508469
1994,3299916,106401,55494,377,1659148,165955,0,0,0,35339,0,0,0,0,99458,14454,271046,23275,733607,0,0,0,70801,0,713,116719,95862,0,159935,24453,0,0,381907,9848,1734,50796,527643,0,14604,0,0,8427,2419,3426263,14102601,119834,64,0,0,0,11124,461262
1995,3141593,108640,51678,412,1618067,162267,0,0,0,33019,0,0,0,0,93902,16112,253849,20254,712733,0,0,0,66021,0,696,115478,95874,0,170143,21999,0,0,374146,7784,1763,47896,507442,0,11246,0,0,7795,2221,3245947,13886754,115930,64,0,0,0,11298,457527
1996,2957994,97834,51121,487,1637972,144727,0,0,0,36494,0,0,0,0,90335,14633,242376,20892,766476,0,0,0,62855,0,667,113152,92330,0,187439,20538,0,0,373978,6136,1792,48169,495198,0,9814,0,0,7291,2210,3151384,13722922,112526,75,0,0,0,9744,425517
1997,2743104,86026,48888,476,1653998,148579,0,0,0,37010,0,0,0,0,93467,14094,231043,17330,777977,0,0,0,58307,0,661,122015,90051,0,207826,19355,0,0,405037,5684,1601,49839,483511,0,7662,0,0,7743,2129,3112187,13658026,112039,58,0,0,0,8752,407021
1998,2487330,71908,46388,452,1645037,129711,0,0,0,34632,0,0,0,0,79646,12806,206138,16942,778476,0,0,0,52165,0,539,127780,95601,0,206260,18409,0,0,419502,4634,1259,37938,449952,0,11484,0,0,6995,1665,2927040,13235142,111354,29,0,0,0,8532,375736
1999,2222554,64513,41470,383,1583499,107120,0,0,0,28391,0,0,0,0,69977,11391,168467,16107,696046,0,0,0,45449,0,534,104116,86635,0,190716,15445,0,0,373381,4095,1195,34626,409225,0,8532,0,0,6380,1995,2605551,12451011,94267,46,0,0,0,8532,354531
2000,2060154,60651,41493,342,1572566,107190,0,0,0,26831,0,0,0,0,70795,12168,199885,20097,611465,0,0,0,45861,0,545,115095,89482,0,189770,17151,0,0,389748,3602,1218,38135,405861,0,8700,0,0,6786,2007,2571703,12358176,90689,52,0,0,0,8120,352211
2001,2038184,54137,44034,342,1511845,95816,0,0,0,25671,0,0,0,0,58534,11728,196864,17220,606738,0,0,0,42775,0,528,113262,92336,0,183808,16948,0,0,394406,3318,963,35096,397480,0,9396,0,0,7279,2036,2460923,12281622,88462,64,0,0,0,7111,333111
