year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,US,UT,VA,VT,WA,WI,WV,WY
1989,51,11,98,235,143657,400,0,0,50,1158,37,147,56,536,244,453,22,214,109,1,65,0,522,131,41,5,126,111,65,56,0,56,114,8328,50,314,1,380,166,0,74,130,24,198,161547,2238,96,0,56,71,0,649
1990,51,13,108,236,152147,405,0,0,55,1288,40,0,63,536,270,502,43,237,121,20,72,0,579,145,45,25,126,123,82,80,0,63,117,8707,73,347,1,392,202,0,82,154,26,236,170747,2004,125,0,77,79,0,649
1991,51,14,117,236,155529,408,0,0,60,1400,43,0,68,535,293,544,63,256,131,39,78,0,628,157,49,34,126,134,97,102,0,68,121,11222,95,377,1,401,236,0,89,175,29,272,177626,2365,152,0,96,86,0,649
1992,51,15,126,237,154136,412,0,0,64,1513,47,23,73,535,316,587,83,276,141,57,85,0,677,169,53,43,126,144,112,124,0,73,125,13061,117,406,1,409,270,0,96,197,31,307,178699,2347,179,0,116,92,0,649
1993,51,16,133,237,155587,414,0,0,68,1611,49,1570,78,535,336,624,102,294,150,75,90,0,720,180,56,52,126,153,126,145,0,78,128,16787,137,432,1,413,301,0,102,216,33,339,185573,1942,205,0,133,98,0,649
1994,51,14,123,236,142640,406,0,0,63,1521,46,1912,167,535,310,670,121,366,233,96,83,0,758,166,52,101,126,141,129,162,0,72,144,16403,154,493,1,409,304,0,94,233,30,341,173477,2463,216,0,153,91,0,649
1995,51,15,131,237,120057,407,0,0,67,1648,48,2419,187,521,331,726,139,400,259,112,89,0,820,177,55,118,126,151,143,184,0,77,159,16921,174,536,1,404,335,0,101,248,32,370,152057,1920,239,0,174,97,0,649
1996,51,16,138,237,129678,409,0,0,71,1806,51,2502,224,529,350,794,174,450,300,145,94,0,893,188,58,151,126,160,165,224,0,81,161,16950,213,593,1,431,381,0,106,291,34,417,163359,2463,279,0,218,103,0,649
1997,51,17,147,238,132211,411,0,0,76,1948,54,2506,247,522,374,856,194,488,328,162,100,0,962,201,62,169,126,171,181,248,0,87,176,17112,236,642,2,435,415,0,114,311,37,451,166598,2226,305,0,241,110,0,649
1998,51,18,152,238,133436,412,0,0,79,2130,56,2418,303,555,388,934,249,552,386,215,104,0,1044,208,65,223,126,177,212,311,0,90,184,16523,296,712,2,499,477,0,118,386,38,516,168480,2159,364,0,313,114,0,649
1999,86,62,192,286,135325,562,5,0,89,2157,91,2162,315,1262,439,1029,253,597,451,226,118,5,1154,235,74,264,276,200,225,320,5,102,644,15550,310,778,2,693,511,5,134,437,43,562,171885,2113,384,5,341,129,8,671
