year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1960,3120,67128,10671,32169,188064,10436,4564,32,0,2990,24810,292,9481,66333,1986,1079,211,28333,0,10570,14609,30607,21839,9542,7807,0,62415,53782,11407,10317,14775,480,745,21164,130051,210,7582,134134,19646,93,38849,12437,93352,11859,3275,13634,9396,369596,25814,10097,6552
1961,3168,71851,14854,31246,164671,8900,3907,58,0,2806,24375,258,9550,59590,2101,1137,171,27109,0,8664,12132,27731,19038,7852,13203,0,69208,50281,14982,9884,12664,199,553,18617,193379,221,10668,133046,15858,85,34488,12160,93175,13143,2459,12602,8219,397880,21486,11101,6737
1962,3207,79605,11197,30861,242148,10724,3112,61,0,2505,27042,214,9830,63159,1999,796,162,29293,0,8352,12124,26679,17996,10199,9297,0,67678,57979,13651,10298,14336,238,672,20822,220654,180,7720,140560,16037,58,32377,15855,101734,8446,4148,13334,8431,417596,22565,10971,10298
1963,3410,66918,5168,30834,267312,10839,2915,43,0,2775,30763,240,7943,62667,1855,544,174,24399,0,7424,10175,29873,14353,8817,3948,0,63011,45736,15547,10626,13516,165,457,18910,202901,87,1998,142933,13420,37,28027,30493,80947,5009,3691,9174,7229,451952,16253,8400,9211
1964,3374,91651,5872,30182,233320,11049,2817,50,0,3033,45088,1205,7219,65833,1860,472,140,25262,0,7011,11633,25860,16169,9884,3339,0,71354,62661,19646,10489,12053,203,99,16913,190456,102,3203,156986,13404,41,45563,32372,95169,4748,8003,8987,6944,492089,16029,9462,9147
1965,3655,74247,11291,46400,321030,9800,1959,32,0,3118,33808,1093,9698,69417,1827,979,140,25760,0,6938,11925,21625,18954,11420,8387,0,87692,56294,26105,11663,11003,-326,448,16668,204632,111,8622,172561,13888,18,36758,40479,91464,7771,9545,9234,7464,515280,22276,8657,9243
1966,3293,72135,16528,54380,275204,10398,2631,23,0,3022,34792,1165,9031,71110,1804,990,138,26718,0,8368,13767,25207,18954,12348,6209,0,82695,45605,20088,12107,12781,-1369,706,18755,229856,101,5335,174133,15027,21,27188,50500,79494,8195,8235,7953,8750,550134,21371,7989,9608
1967,3786,95334,12815,52243,371307,9685,4108,24,0,2984,38645,1131,8409,71952,1874,4888,97,38563,0,8337,20060,26702,20555,9000,6691,0,90810,52532,28905,12135,12543,-2103,367,18073,244545,106,7572,186321,19969,55,27688,51427,100437,6043,11206,8410,8498,614437,21620,10950,8229
1968,3781,76753,31247,59309,287092,9814,3727,15,3,2511,32734,979,9891,70145,1731,5444,106,30430,0,8140,16728,27147,19887,10467,13867,0,92806,49104,25989,13040,12527,-3555,447,18195,260179,87,15869,212612,12294,49,28098,58692,80288,13790,10575,8157,8214,668963,24866,9948,9976
1969,3562,78511,30115,63451,428665,10370,4439,3,0,2862,32557,1043,9046,65608,1781,6170,67,27974,0,9202,14193,28873,19758,10492,14988,0,98712,51767,30703,12929,15036,-3957,668,17772,278145,88,19701,291449,9570,39,32273,66340,78115,13279,11673,7369,9447,705605,22542,9946,11460
1970,3806,80092,22668,64580,405139,12965,3456,8,0,3061,26430,1131,9816,74260,1747,5199,71,33303,0,7904,20009,29942,17878,9379,9733,0,91769,45896,29536,14383,13006,-4228,690,17271,262884,78,14751,313901,14336,35,24064,69037,84656,10550,7776,7254,8244,729600,19980,10449,10562
1971,3807,104114,18897,69610,414569,16612,4098,11,0,2651,34600,936,9565,78264,1429,4513,75,37053,0,7395,18576,25807,18613,10265,7368,0,100529,62001,33900,14243,11455,-3236,285,17582,266456,93,14488,360068,8159,14,36515,81497,98699,9220,10312,11771,7778,750108,23363,12012,13748
1972,3594,106211,17059,70406,344666,12903,5584,13,0,2472,35141,941,10310,81408,1557,3998,48,39127,0,8918,23688,27560,18608,10810,6354,0,98024,66816,32122,14240,13178,-2254,210,16222,288472,92,15020,378605,15916,62,34744,77141,115536,8615,12691,14609,9774,787585,25043,12937,12167
1973,2973,122622,44172,74774,423040,13313,4644,8,0,2431,43968,985,9415,86007,1339,4984,32,39719,0,5820,22490,32157,10947,10977,20858,0,78121,73898,24749,14243,16759,-3457,675,17340,305067,86,39073,292446,14256,47,40597,50250,118976,17663,11537,13694,11005,717005,25389,12214,12562
1974,3407,108270,44600,77275,510350,14774,4470,6,0,2625,38153,958,9304,101140,1300,4647,70,35482,0,4465,20562,30399,12347,9586,17884,0,101543,71948,28501,13509,15298,-2944,766,16711,300864,101,37489,375956,14541,47,36082,59110,122871,17035,9828,11328,10352,861367,21096,11985,14734
1975,3713,127086,35719,75484,451088,15678,5135,8,0,2438,45103,929,9142,106908,1274,4623,48,36035,0,4342,24049,27719,11553,9539,13315,0,105784,73417,34806,12624,13013,-2834,660,17583,294729,77,30646,359650,16402,36,45926,82484,122852,20052,11181,13637,9761,871063,21193,11058,11657
1976,3978,98111,20975,78612,278091,13360,3976,5,0,2688,45969,962,6692,107589,1345,4972,54,32766,0,5084,21663,32095,10890,6095,7677,0,128649,58632,33937,13240,15718,-2546,790,16125,299209,85,15986,367033,14685,34,35418,73146,98277,11080,11717,9208,11302,979802,17132,10643,10822
1977,5343,108046,18684,68843,186089,11187,4497,0,0,2537,42073,895,8136,70428,1351,3898,33,34572,0,4408,21053,31672,9716,6991,4739,0,88278,55167,20812,12738,14652,-1744,291,16874,267952,61,18254,254455,12573,37,31831,55241,108482,12199,7898,7448,10001,695150,19003,9840,7951
1978,4889,81781,25086,72741,416340,13918,3723,0,0,2363,38910,868,9639,102269,1332,3737,49,32964,0,2215,17981,29293,11243,11205,10532,0,121308,56802,31437,12303,11718,-1797,312,17263,270151,49,18267,330634,7875,42,33227,70777,91006,7923,7601,13328,9055,921159,24563,9579,10178
1979,4747,122863,34940,75123,391432,16685,4777,0,0,2493,45870,931,9296,94885,1345,4540,38,40794,0,4537,22684,28878,13524,9493,11386,0,107096,81961,28325,12899,12544,-2933,702,17771,274181,46,24049,309204,12651,35,40983,65839,127403,12448,8303,15977,9624,823176,23745,12754,10905
1980,5599,97733,17606,102171,476318,17834,2659,0,0,2229,45942,898,9828,98760,1438,4928,86,30538,0,1642,13189,25106,12464,8169,5797,0,103522,56992,26107,13875,10666,-2934,977,24643,275016,63,13655,313951,7628,13,31421,60436,91045,10171,8533,9264,8449,863361,21970,11571,11511
1981,6171,63113,12913,71114,370561,14621,2717,0,0,1881,24339,840,10260,99374,1399,5317,80,27160,0,4496,14902,29834,12963,9808,6994,0,118359,30631,23518,12510,14231,-2413,920,18072,270643,58,11724,336166,6894,1,13136,55461,61827,11972,6512,3813,10482,979462,22386,11392,8790
1982,5870,112184,22019,73334,575692,17249,3877,0,0,2728,38173,942,9599,121177,1297,4473,68,34944,0,2632,14018,30770,12655,10518,17311,0,114163,56538,26687,12672,13064,-2321,821,14850,267231,56,21847,472761,19120,36,25396,56725,102125,10738,10710,9830,8849,916871,25315,11691,8883
1983,6243,117458,34872,152355,662360,19686,3977,0,0,2314,43337,885,9675,134351,1414,4401,58,34123,0,2920,18573,30891,12934,11292,18048,0,121624,64610,25010,14157,14234,-2394,933,43064,277676,1424,26301,474208,12310,32,32589,58133,104700,11648,14663,12725,10583,900136,26886,11672,12110
1984,7235,112730,28429,163692,530867,22648,3941,0,0,2221,43193,1071,9587,137756,1468,4548,79,36684,0,3098,21113,31187,11181,10138,16570,0,116014,66493,24656,14037,13105,-2570,979,58602,279993,1708,24415,486873,15107,21,33169,59734,106288,10767,14919,12337,9904,871017,24412,11879,13452
1985,7816,71935,46323,146123,427567,24629,2760,0,0,2549,29522,1090,10334,113491,1422,4451,94,30727,0,2740,15919,28118,10416,10169,31272,0,106295,42766,22699,15051,11811,-2550,1336,45386,284044,1827,41579,426032,10149,0,19169,55711,68316,14636,11790,8833,9635,804970,26595,11052,11187
1986,8448,54848,29390,151060,538952,23645,3899,0,0,2218,22471,1001,9953,126946,1477,5285,87,28559,0,4095,19597,31411,7527,11289,20847,0,113416,26330,24300,17528,13157,-2989,1738,47889,310381,1801,30826,425898,15173,0,13223,59917,55630,20603,16548,781,10910,824820,25265,10979,11917
1987,9080,77855,25080,105592,366514,18947,3578,0,0,2260,33084,988,10115,84444,1116,5279,93,30712,0,3228,16796,27888,5010,9015,15077,0,92992,53146,20655,16329,10955,-3220,1711,26316,289431,2345,30718,369450,11790,0,23016,56119,78827,22482,10627,8692,10367,727530,16426,10475,7997
1988,9658,55575,28754,80385,346818,18019,3411,0,0,2161,21322,1001,7218,69638,671,4553,120,25013,0,2190,13705,26248,6191,6990,15595,0,85043,29871,19447,13940,11591,-2257,1036,21587,249157,1929,21111,357979,7282,0,7017,54573,47402,12751,7922,-1970,9074,707279,15363,10196,8144
1989,9154,137357,33524,85877,506378,18823,4671,1,77,27715,40759,1891,7074,98069,1331,5163,162,46162,172,4397,18653,36019,8560,8983,11612,8,99971,73252,19814,12148,14013,-2107,3092,27775,259209,1685,25038,397155,15610,80,21384,47935,123731,15584,8131,4637,10933,746592,15659,13663,7748
1990,10189,107983,39405,81012,450389,15328,6002,1,84,28688,47881,2013,9175,95351,1821,5102,217,33114,7014,13208,24027,42635,17738,9401,23010,29,111603,71220,17881,11948,19594,791,2827,26818,293564,2253,28494,429695,30493,142,34403,41080,104266,19268,7333,13873,14206,910269,21237,13503,7356
1991,9404,112429,38411,74189,438903,19301,4593,1,88,30508,44323,2071,9481,91803,1751,4722,210,38433,7051,11870,14806,39926,19134,11324,11893,38,125047,61347,18430,11013,16571,716,3176,35975,283956,2006,20150,429557,20728,146,32574,40125,113559,23906,8948,11551,10993,932836,26558,11150,8331
1992,9547,106272,36331,72434,415923,16097,4456,1,93,31482,51003,1899,10421,69352,1818,6420,222,39241,7000,10712,19000,36418,19335,11503,15535,47,85665,59965,17681,11256,14441,752,3346,33692,290593,3048,33616,328826,27388,146,34348,37552,103626,28015,8617,11580,9537,707101,25144,13177,7225
