year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,US,UT,VA,VT,WA,WI,WV,WY
1989,9102,137211,32176,82171,321318,18280,4607,0,0,2437,40621,581,7009,97532,1038,4697,104,45945,0,4212,18548,35941,7818,8519,11415,0,99844,72984,19748,12083,13987,-2542,2423,19391,258900,1354,24950,396494,15018,50,21296,47805,123649,15034,2837263,5859,4421,10927,746181,15394,13633,7098
1990,10137,107832,38016,77158,247490,14769,5936,0,0,1816,47736,827,9103,94814,1497,4588,138,32874,6829,12995,23913,42550,16934,8915,22802,0,111476,70936,17799,11859,19567,326,2137,18048,293214,1887,28404,428982,29845,103,34306,40926,104180,18657,3046391,5289,13621,14199,909829,20954,13471,6705
1991,9352,112268,37016,70292,229144,18725,4522,0,0,2745,44166,741,9404,91266,1403,4164,110,38173,6851,11635,14686,39837,18280,10823,11682,0,124919,61052,18333,10902,16544,225,2474,24682,283568,1609,20059,428798,20041,104,32470,39950,113470,23216,3015943,6543,11271,10986,932377,26264,11118,7680
1992,9495,106109,34928,68472,208571,15504,4382,0,0,2437,50834,632,10339,68815,1441,5817,101,38961,6789,10454,18871,36327,18432,10988,15319,0,85537,59657,17570,11122,14413,231,2638,20536,290162,2618,33526,328033,26658,103,34237,37355,103534,27284,2617436,6230,11273,9530,706614,24837,13145,6574
1993,13433,93134,46486,69040,417437,19709,4275,0,0,2173,45944,580,7703,100157,1342,4623,51,32526,12700,9096,17095,33461,18163,11864,32829,0,99112,51412,14588,10326,14542,196,3029,20331,303531,1955,44921,369723,24499,97,30413,26712,92309,18416,2891613,8866,13539,10116,693923,25634,11485,8118
1994,13879,117903,35721,75982,237398,15928,4964,0,0,2831,44683,1438,11049,81663,1244,4197,102,41404,10027,9676,20730,36217,17127,11747,19768,0,84070,74196,19151,13533,15075,156,2196,19352,286695,1978,25941,322069,28367,96,31309,52908,124080,15788,2683457,7742,11823,10715,676477,22987,11818,9256
1995,14149,97980,33181,85470,495318,21977,3752,0,0,2380,43277,1009,10343,113322,1278,4818,116,35303,9819,8958,14870,34586,16470,11324,19784,0,110811,56931,25341,14706,14126,113,2722,20021,268042,2395,28667,420363,20935,95,35650,61974,99290,17565,3205307,9990,10261,10030,850742,24527,12299,8234
1996,13089,114587,28921,95276,462729,18823,6472,0,0,2229,48380,1076,9671,137349,1092,4636,113,36159,9967,12290,25410,42987,18442,12275,13584,0,142640,61546,32580,16564,19845,197,2187,22381,299356,4109,22311,464333,31145,107,31445,82489,118569,9925,3589656,10846,14771,12733,1018675,27877,14735,12737
1997,11224,117660,35906,123060,419290,20751,4562,0,0,2464,43708,1178,8221,149882,992,5736,142,34522,10580,10537,16222,37256,17489,10567,16272,0,136921,57457,33903,17080,16561,188,2643,26421,312702,5182,29834,476985,22970,77,30212,92042,112731,18289,3640457,13728,10420,10902,1063894,25362,11630,14101
1998,11353,107730,31781,111863,505243,14908,4571,0,0,2024,53376,1237,9309,131904,1404,4881,117,31774,10838,10500,17740,37892,14246,9734,23928,0,113370,58512,23412,17160,16282,211,2411,32287,298933,4144,35779,406882,24283,88,36397,58710,110189,14529,3297054,13406,13086,12176,813870,17818,11077,13688
1999,8351,79350,27552,99794,416573,15978,4315,0,0,1433,28134,1175,9670,138042,1453,4162,126,26144,8199,9966,14564,38408,14913,12056,18949,0,141344,37674,26681,17579,14432,177,2482,28916,253117,4326,32472,466705,19906,62,17255,68282,79783,11455,3267575,12835,6971,12227,991813,20294,9513,11967
2000,10220,59346,24181,85221,391043,14836,5369,0,0,885,25307,1055,9222,111871,1467,6001,156,23713,5430,10866,17674,36630,14564,9501,6120,0,98167,32009,21652,15309,14559,143,2256,24783,254103,5948,23227,388818,23363,50,15643,58304,65248,8456,2811116,7611,7263,12456,818762,20255,11740,10314
2001,13905,86346,26331,78774,263923,15445,2959,0,0,1526,26829,1041,8733,74637,1488,5897,264,39839,7566,7259,12229,27332,16139,8593,11409,0,68337,26821,13764,11616,10236,186,2452,25974,238527,5278,24228,295984,17049,32,12663,35461,71778,12403,2241858,5253,10480,9137,565565,21247,9836,9084
2002,14643,89775,34953,75557,316794,12299,3409,0,0,1873,27627,967,9628,89210,1311,4184,130,40944,9069,8902,16897,28157,16981,8231,13804,0,97324,35525,16202,11165,11607,122,2692,23068,254812,4968,20222,350085,22488,37,14138,44290,81116,11429,2689017,4657,8832,11342,795189,25585,10842,5937
2003,16023,128232,26878,71634,368253,12780,5715,0,0,2660,41920,916,7985,84585,1402,4293,126,39974,9031,10886,26801,32123,14031,8248,6606,0,88105,72910,17455,9924,13479,394,1728,17787,245720,5172,18209,336660,33881,61,37112,43298,121537,9077,2792539,4266,18038,11685,726537,18663,13730,6010
2004,15004,106432,36493,69843,341956,11966,4634,0,0,2657,36983,941,9475,84752,1538,4444,126,37863,11006,9999,25115,34357,15420,7395,14823,0,88702,54439,15483,9145,13179,376,1392,16177,240280,7310,29814,331337,31604,55,24508,36033,104248,13027,2688468,4506,15856,11892,716902,19838,13204,5941
2005,14638,101436,30822,64094,396279,14152,4782,0,0,2661,40317,962,9594,85413,1290,4382,113,29609,8109,10418,17035,40905,14616,7747,11592,0,95864,53960,13417,8714,17987,311,1650,17022,257799,5157,26301,309453,22320,67,29379,30743,93086,13324,2702942,7844,14842,12107,720674,17400,14474,8083
2006,12137,71930,15380,67379,476582,17767,5395,0,0,2018,25480,1191,9020,111513,1719,4855,96,25707,7074,15004,20872,42435,15080,5671,1976,0,100481,38079,15087,8861,15165,351,1966,20410,271232,6268,6185,375437,28211,59,17923,33693,76859,6566,2869035,7407,13402,15064,813434,16650,15597,8365
2007,12762,40881,31992,65211,270107,17095,3590,0,0,1527,22102,913,9512,89170,1519,4447,104,16492,8171,7882,16331,36948,12553,6462,11904,0,92557,29495,12903,3434,12506,207,2649,19800,249596,4057,30303,331978,22100,43,15379,28834,48823,16254,2446389,5325,12338,6391,779148,14985,12398,7210
2008,11547,60466,45923,71795,237755,20096,5481,0,0,2031,21133,831,8071,92258,1365,4304,104,18895,10488,11389,19453,43923,13445,7164,20169,0,98536,29894,12345,3414,16094,254,3077,17251,263330,3808,37556,333115,25116,49,11067,29494,55636,10243,2511108,6583,9962,14711,765033,15925,12298,8231
2009,12920,122345,40921,62731,272187,18405,4973,0,0,2032,31815,1099,9479,101838,1331,4914,125,32380,12067,11723,18434,41106,13390,7897,17731,0,92778,50471,14398,4233,16402,313,2645,24015,269523,5151,34673,322407,26185,46,22760,43261,99669,10040,2668824,8152,14431,14502,711823,13605,16064,9434
2010,13982,84919,35697,64606,326152,15398,3811,0,0,1731,32407,687,9250,89309,1157,4426,129,25173,10817,9720,16267,37174,12200,8199,15018,0,91849,46405,19923,12818,14415,177,2117,21047,248502,4186,27403,297970,22753,36,23185,51110,79392,12310,2538541,6785,14636,13140,666221,20603,13340,9989
2011,13066,86313,28738,89135,413488,20235,5513,0,0,1769,26282,905,8991,130241,1365,3972,143,28850,10144,11161,24748,38660,13188,7250,11515,0,122382,37828,25068,15713,15592,237,1892,21284,272019,3728,14641,411131,31258,72,15100,64205,93037,5471,3102852,11952,11760,13843,892101,20859,14118,11890
2012,14988,70754,20921,63918,255384,14247,2970,0,0,1432,21281,1090,7291,104109,1058,4125,99,22475,6470,8683,15764,35519,11484,5339,6797,0,107373,35475,23573,11962,11869,102,2120,23223,234593,3941,10901,375027,21334,41,13515,56915,78942,5562,2628702,7116,9933,10956,851343,14562,13622,8502
2013,13696,123071,25329,56432,226643,11572,3835,0,0,2425,35431,747,7147,80845,1148,3692,139,31249,9966,9460,16477,33970,13539,4877,10843,0,91959,65838,17674,10723,13617,174,876,25588,238270,5240,20781,315785,24088,42,30152,38761,118721,4580,2562382,4818,11961,12269,745678,18880,16590,6782
2014,14633,90030,25104,58185,157213,16831,4127,0,0,2010,29142,895,8356,85611,1258,3530,154,29895,10366,8579,15364,34457,15216,5216,6632,0,109201,45230,24073,11010,13137,164,936,22719,248086,4546,13585,335341,25117,38,24432,52288,84645,3670,2466577,6018,9084,11177,755695,23507,11811,8261
2015,14621,91902,33261,60906,128681,15098,2819,0,0,2277,27804,1129,8948,81603,1160,3553,177,31717,9310,7709,15127,31317,13971,7912,14864,0,92144,44191,19516,15702,11837,89,927,21099,242429,4256,24825,291255,24264,29,23897,45202,89288,8913,2321177,7164,10795,10619,684060,21813,12907,8091
2016,15317,64484,32958,66173,267194,17565,2069,0,0,1611,31137,839,8464,83395,1226,3935,282,32108,10183,6578,12853,27693,14442,11157,11711,0,93082,40779,17652,7906,10574,88,1366,16518,248232,4619,23758,318960,21922,20,20551,44365,62538,12389,2472442,7012,13585,9948,723289,25806,15124,8987
2017,15143,85103,27117,62942,390292,17479,3060,0,0,2011,22201,609,9526,98306,1153,2820,269,41514,8349,9558,18108,31221,15468,11587,10886,0,100850,35175,23789,13719,13022,126,1780,16700,277725,2555,18760,352802,28775,22,16906,48419,80071,9784,2766967,11919,10285,11796,757151,24481,15280,10352
2018,15151,101447,27392,63566,239714,16618,5056,0,0,2117,33656,879,8420,100366,1334,2027,241,40220,10741,10320,25772,29689,14286,9591,7542,0,103828,60136,28952,12582,12336,324,1361,17127,269752,2222,18526,322671,38799,37,27437,57048,93705,10255,2663138,8440,16067,11546,736362,21777,16821,8883
2019,14456,101563,36819,55251,341549,16127,3811,0,0,1869,35230,842,7091,92017,1103,2280,182,37682,12161,8687,19485,31162,14691,9404,19733,0,89090,55084,28312,11935,13019,236,1409,19966,272679,3585,34758,270017,31195,32,26503,70484,90206,13139,2563516,7793,13529,11906,587893,23518,15192,8838
2020,15475,117112,39747,56354,187545,14638,2860,0,0,2033,40905,867,8994,83415,1184,2375,284,43913,10560,7402,14886,27707,15031,8789,16488,0,94288,69811,21497,12195,10776,135,1778,16874,259241,3283,25042,280040,23445,31,33888,51152,118018,9469,2502708,7165,17811,9911,670342,24457,13967,9527
