year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,US,UT,VA,VT,WA,WI,WV,WY
1989,436710,140473,176611,1414,404886,242577,0,0,0,13738,0,0,0,0,1657,423,648030,77855,1974657,0,35,0,178502,0,4,106346,54249,0,65725,916,0,0,990455,0,21026,166522,2458131,2588,199292,0,0,4443,1961,5638965,20066784,161326,18670,0,0,0,207262,752450
1990,432880,147464,177885,2193,401448,267816,0,0,0,11575,0,0,0,0,844,406,623582,81884,1961806,0,23,0,191583,0,7,98481,53770,0,66767,780,0,0,1120869,0,25774,160912,2481655,2880,184692,0,0,895,2139,5653163,20622818,188739,15395,0,0,0,205870,857088
1991,501639,183772,167987,1256,414390,321863,0,0,0,8284,0,0,0,0,662,235,702774,86641,1921548,0,30,0,214848,0,15,112013,55348,0,68533,793,0,0,1187934,55,23415,154238,2367820,2820,158503,0,0,898,1917,5644617,20615355,179869,15532,0,0,0,229141,877059
1992,513416,292337,204972,795,402577,361441,0,0,0,11162,0,0,0,0,534,176,719297,88467,1932664,0,34,0,213376,0,27,96666,56654,0,69083,1157,0,0,1433215,30,24190,150158,2236704,2670,144660,0,0,1478,1825,5611228,20832091,204225,25698,0,0,0,209065,943892
1993,497716,319576,199946,614,352853,437912,0,0,0,11549,0,0,0,0,504,194,750032,95196,1945856,0,28,0,221748,0,14,83192,56796,0,74912,2061,0,0,1590700,22,21797,142674,2267467,4151,137848,0,0,1323,1718,5727099,21008415,265694,39505,0,0,0,199345,719950
1994,622300,415752,192702,772,340415,488620,0,0,0,10742,0,0,0,0,485,108,787433,81187,1965457,0,27,0,238845,0,8,66228,52680,0,72027,2868,0,0,1695520,16,21038,137227,2150726,3350,125649,0,0,1451,2054,5825006,21765249,311441,52169,0,0,0,212320,789884
1995,547493,395302,202230,577,308580,574949,0,0,0,9237,0,0,0,0,481,252,800089,85908,1974889,0,23,0,253681,0,17,98621,52770,0,62210,2195,0,0,1788221,14,18915,131304,2000756,2000,115798,0,0,1270,1876,5822544,21589084,278895,51363,0,0,0,209007,775280
1996,557204,399761,228350,468,320843,622078,0,0,0,8758,0,0,0,0,414,364,785499,89454,1919301,0,138,0,259737,0,25,106900,53417,0,61513,1889,0,0,1755289,11,18603,123927,1931729,1496,140496,0,0,1348,1744,5898493,21957585,278136,56408,0,0,0,190667,779809
1997,552678,411570,212498,461,314186,689043,0,0,0,8735,0,0,0,0,563,532,746621,87385,1898843,0,122,0,320928,0,5,111406,54679,0,64346,1666,0,0,1739987,10,16609,121611,1872016,1227,83903,0,0,1627,1557,5883165,22299946,294672,60812,0,0,0,194528,861774
1998,547045,414185,193586,464,350247,743318,0,0,0,8338,0,0,0,0,326,626,669630,88260,1876206,0,65,0,293186,0,0,113789,59789,0,65238,1700,0,0,1624812,9,17167,119811,1830883,1113,136099,0,0,1636,1463,6002817,22155561,308413,59726,0,0,0,202073,1032303
