year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1989,0,121962,93599,83080,344146,5600,207033,0,0,221356,264167,0,33221,0,791821,0,102753,0,131136,31906,28777,73464,225547,115634,88307,82824,0,309152,0,85480,0,243746,0,0,241794,133993,0,56080,414489,0,431569,0,165130,105722,0,150955,38171,64745,114802,0,0
1990,0,127533,119387,217965,345955,0,209272,0,0,230471,262401,0,31868,0,760711,0,83328,0,150230,53647,13242,51436,228682,128458,84635,78541,0,274130,0,79485,43182,251538,0,0,249982,112845,0,64273,611503,0,453763,0,148175,167823,0,252065,38267,60762,118793,0,0
1991,0,166430,132746,263104,330684,0,128355,0,0,215001,272752,0,43475,0,753444,0,61422,0,146317,46304,94734,65676,283290,126427,104624,95750,0,317795,0,84372,71164,260072,0,0,298252,155507,0,15363,602575,0,451945,0,173895,207582,0,250424,43072,44346,115234,0,0
1992,0,203111,118591,268149,369043,0,175606,0,0,262989,293149,0,35655,0,772156,0,88906,0,108433,49653,111662,56104,197365,116923,84647,85587,0,238255,0,91605,82393,226122,0,0,252926,155028,0,47880,629650,0,476813,0,163909,256502,0,244334,39105,59605,117350,0,0
1993,0,187216,142032,231601,331724,0,229006,0,0,271916,286059,0,33981,0,823235,0,82977,0,151238,45574,129208,60292,299627,125902,88038,83019,0,249564,0,71481,95028,261888,0,0,282445,105152,0,-223,623208,0,485168,0,34714,130321,0,238323,35421,74946,120424,0,0
1994,0,214054,145531,242182,352778,0,210712,0,0,278881,302346,0,42930,0,759385,0,89145,0,133562,40330,117432,69317,147836,127761,104588,100493,0,338080,0,66321,64842,231296,0,0,305527,114473,0,0,702446,0,464760,0,124717,300448,0,265782,45106,70444,120370,0,0
1995,0,218045,122486,283526,317794,0,196995,0,0,301978,322151,0,39191,0,824598,0,105723,0,164812,47133,135939,2076,256879,139149,86597,84196,0,377308,0,78650,88042,176576,0,0,276714,176182,0,0,698311,0,516666,0,165048,379842,0,264092,40541,72938,115258,0,0
1996,0,312018,140285,302902,358119,0,65384,0,0,267514,314302,0,41210,0,732840,0,86176,0,165578,55922,127010,53166,281789,127035,93376,96886,0,354142,0,99325,103399,115826,0,0,369977,146195,0,0,721262,0,457627,0,240773,375656,0,276085,39899,58691,106305,0,0
1997,0,310336,149100,307623,320194,0,-1309,0,0,241023,319170,0,43541,0,535916,0,88469,0,141785,45234,138657,0,229964,113536,93970,113467,0,340563,0,97267,83736,145951,0,0,310304,160882,0,0,709967,0,471343,0,258656,392031,0,284220,44776,65526,41093,0,0
1998,0,300698,137403,317888,362928,0,34022,0,0,326432,329212,0,39525,0,583254,0,109219,0,172341,59782,139851,0,131076,122158,89349,96418,0,406822,0,86643,87988,284643,0,0,328512,172847,0,0,641517,0,511535,0,297814,405846,0,285716,35226,72556,98586,0,0
