,name,state_name,dist_wind_,land_wind_,com_pv_tec,resid_pv_t,util_pv_te,fips
0,Zapata,Texas,2876998.82,15732926.06,14121.79,29707.55,152028996.91,48505
1,Zavala,Texas,1894594.84,18074002.69,27700.3,26136.28,191549852.94,48507
2,McMullen,Texas,1461356.25,18944452.3,11173.97,2116.89,166058173.79,48311
3,Live Oak,Texas,7730893.27,19677746.8,42351.39,28151.57,147176682.62,48297
4,Refugio,Texas,2831017.99,8630486.13,23954.66,21571.24,101290200.41,48391
5,Nueces,Texas,11757284.39,10556578.47,565031.44,841071.19,103322186.3,48355
6,Goliad,Texas,5879006.86,10284738.2,29770.57,22106.29,118767489.52,48175
7,Gonzales,Texas,10402449.98,12979919.55,104505.69,39700.15,142238513.59,48177
8,Fayette,Texas,12594024.74,10532990.65,135203.64,77502.18,121746756.55,48149
9,Comal,Texas,7251695.8,6504654.82,671987.42,326348.46,38588249.19,48091
10,San Patricio,Texas,7338162.56,10156304.88,113908.68,177550.92,91783014.32,48409
11,Colorado,Texas,8516851.48,9935690.53,110295.35,59279.19,128021977.42,48089
12,Duval,Texas,6780255.18,29456451.78,34447.72,29694.96,262735627.71,48131
13,Starr,Texas,7498135.88,20975146.26,85276.39,144455.85,180207811.94,48427
14,Edwards,Texas,6568929.24,51381972.94,6972.65,7666.29,156585990.56,48137
15,Brooks,Texas,2482723.28,15432379.61,16694.51,16488.45,140744289.2,48047
16,Guadalupe,Texas,7300145.21,7598577.0,500078.02,413703.15,89602524.1,48187
17,Galveston,Texas,8227730.84,182499.76,728533.75,856201.95,18120039.73,48167
18,Frio,Texas,4463098.04,13469475.08,36549.93,31690.23,162120039.81,48163
19,Fort Bend,Texas,10680480.82,5651545.61,1553098.59,1838404.17,84925701.79,48157
20,Maverick,Texas,1915294.39,17433905.55,70276.84,135864.33,180708066.89,48323
21,Jackson,Texas,5602186.31,10365034.05,45855.78,37259.09,112966458.96,48239
22,DeWitt,Texas,10116160.19,11544672.89,111531.42,54072.16,121593416.88,48123
23,Dimmit,Texas,2581086.48,16488177.64,18869.26,25741.04,196879338.2,48127
24,Matagorda,Texas,7916029.76,8710420.28,90291.81,91308.05,121650386.88,48321
25,Medina,Texas,11099775.17,16577707.54,195756.73,94304.19,157118680.0,48325
26,Hidalgo,Texas,22770911.64,14672812.09,1401857.68,1929556.16,190515532.25,48215
27,Chambers,Texas,3901139.42,3520855.11,183821.1,99595.87,51833731.15,48071
28,Calhoun,Texas,3437158.64,3327959.92,47618.12,61367.56,43669641.89,48057
29,Caldwell,Texas,6753603.69,6044512.54,128964.96,75522.79,70431627.43,48055
30,Hays,Texas,8794231.12,8766471.66,457874.53,412394.47,56744337.13,48209
31,Harris,Texas,31287779.68,1875590.85,10919780.76,8669908.5,58522609.71,48201
32,Cameron,Texas,21844374.64,4577655.5,735973.54,869292.76,85811666.28,48061
33,Webb,Texas,7690794.37,56985634.14,349974.3,466155.47,492786120.96,48479
34,Waller,Texas,5346213.04,4265720.43,223812.0,83547.21,65273351.72,48473
35,Washington,Texas,7146051.45,6817151.17,238996.27,87388.65,72131802.42,48477
36,Kleberg,Texas,2967476.26,10635658.42,58044.52,66900.96,108724407.38,48273
37,Kinney,Texas,1845117.31,25676090.48,8351.63,7706.93,159893718.43,48271
38,Bandera,Texas,8687682.41,9564779.79,49549.07,54270.23,35911366.42,48019
39,Atascosa,Texas,9944695.26,15063263.09,110199.16,97295.35,175415540.43,48013
40,Austin,Texas,7486064.6,6487207.14,180333.33,78047.35,80769905.75,48015
41,Wilson,Texas,8505186.43,11011303.34,186470.26,117626.23,113236561.56,48493
42,Jim Wells,Texas,7694743.92,12281089.91,94392.9,100129.39,125152743.92,48249
43,Jim Hogg,Texas,1806249.08,24571141.39,15065.76,14511.06,178341856.89,48247
44,Bee,Texas,7416735.45,12313030.33,61732.21,61295.13,123942138.1,48025
45,Bexar,Texas,15754904.17,5690156.8,5749218.88,4916184.75,81365663.15,48029
46,Victoria,Texas,6778140.38,9850471.81,176438.31,213946.82,113494273.46,48469
47,Val Verde,Texas,6699529.37,60180269.9,66964.63,114665.89,221521339.2,48465
48,Uvalde,Texas,7606072.31,22023954.05,67263.74,61361.34,156089253.47,48463
49,Kenedy,Texas,718436.53,18390291.16,4223.54,525.62,193218618.17,48261
50,Kerr,Texas,12039573.11,21201885.76,178048.04,138701.6,82424885.24,48265
51,Aransas,Texas,2345890.03,414005.44,38885.85,73609.06,10547480.53,48007
52,Wharton,Texas,10047022.7,13362238.65,271831.3,103397.34,149921872.77,48481
53,Willacy,Texas,4373284.04,8125481.5,33725.92,47986.03,79156184.12,48489
54,Real,Texas,4853230.29,10960152.35,6334.56,7884.25,26219916.77,48385
55,Kendall,Texas,7176550.92,10356968.91,130348.02,104400.27,34171234.17,48259
56,Karnes,Texas,7774496.28,12265864.23,39791.13,32543.78,106511264.23,48255
57,Brazoria,Texas,13210288.93,4760063.62,736214.16,811213.17,109994712.61,48039
58,La Salle,Texas,3361021.73,17471145.53,13383.96,12878.38,215035591.38,48283
59,Lavaca,Texas,9594029.88,10798561.36,137518.19,59627.48,130788259.28,48285
