year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,US,UT,VA,VT,WA,WI,WV,WY
1989,1,135,1250,3471,19719,143,64,1,28,24119,102,819,9,2,49,12,35,3,63,184,40,78,220,330,156,2,1,156,0,8,26,378,554,55,259,18,87,282,426,30,14,0,58,353,54483,34,121,6,354,193,31,2
1990,1,138,1281,3619,22053,154,66,1,29,25584,105,885,9,2,53,13,36,3,64,193,41,85,226,338,163,4,1,161,0,9,27,402,573,63,276,19,89,314,445,38,15,0,60,374,58787,40,127,7,364,204,32,2
1991,1,148,1278,3661,23814,167,71,1,29,26362,114,957,9,2,55,13,36,4,69,196,41,90,226,341,162,4,1,162,0,9,27,423,581,71,292,20,89,352,451,42,15,0,60,419,61644,40,127,7,363,208,32,2
1992,1,148,1278,3725,23596,181,74,1,29,27532,123,1010,9,2,61,16,37,4,70,201,45,91,226,344,163,4,1,163,0,10,28,447,584,96,315,23,89,378,460,44,16,0,61,425,62903,40,128,7,372,214,32,2
1993,1,148,1272,3794,24635,188,78,1,29,28530,133,1066,9,2,70,20,37,4,70,204,49,98,226,342,163,4,1,164,0,10,28,468,584,100,337,27,89,414,464,43,16,0,61,435,65215,40,128,8,374,218,31,2
1994,1,153,1259,3836,25173,208,134,1,29,29387,143,1120,9,2,86,24,37,4,72,218,51,110,256,342,162,10,1,164,0,16,30,522,590,135,398,30,88,464,484,43,16,0,61,464,67155,51,131,13,373,219,31,2
1995,1,150,1230,3844,25375,217,152,1,28,29925,159,1168,9,2,106,25,37,4,75,223,51,116,267,375,159,9,1,162,0,15,40,547,585,179,452,34,86,515,495,43,16,0,61,479,68265,51,134,17,370,235,38,2
1996,1,146,1189,3861,25636,227,187,1,28,30259,169,1211,9,2,113,32,37,4,73,223,51,114,266,370,154,9,2,164,1,15,39,582,575,224,515,37,83,572,515,42,16,0,61,496,69171,53,136,20,365,238,45,2
1997,1,138,1108,3792,25020,230,199,1,26,29982,186,1222,9,2,137,32,36,4,69,221,51,117,262,359,146,10,2,156,1,15,38,592,542,259,539,54,79,601,509,40,23,0,61,494,68208,51,138,23,355,230,43,2
1998,0,134,1033,3713,24534,233,231,2,25,29626,202,1258,9,2,180,33,34,4,71,214,49,117,262,345,138,10,2,152,1,15,38,636,519,340,554,86,79,622,490,38,24,0,61,555,67496,49,138,24,342,227,42,2
