,name,state_name,dist_wind_,land_wind_,com_pv_tec,resid_pv_t,util_pv_te,longitude,latitude
0,Zapata,Texas,2876998.82,15732926.06,14121.79,29707.55,152028996.91,-99.16890618309964,26.999664382235924
1,Zavala,Texas,1894594.84,18074002.69,27700.3,26136.28,191549852.94,-99.76060321884738,28.8661977378236
2,McMullen,Texas,1461356.25,18944452.3,11173.97,2116.89,166058173.79,-98.56749073898008,28.34905000228968
3,Live Oak,Texas,7730893.27,19677746.8,42351.39,28151.57,147176682.62,-98.12478349194015,28.35136692775269
4,Refugio,Texas,2831017.99,8630486.13,23954.66,21571.24,101290200.41,-97.1666229573429,28.326380251659923
5,Nueces,Texas,11757284.39,10556578.47,565031.44,841071.19,103322186.3,-97.62719022379598,27.724379950986588
6,Goliad,Texas,5879006.86,10284738.2,29770.57,22106.29,118767489.52,-97.42647937685805,28.65707551000779
7,Gonzales,Texas,10402449.98,12979919.55,104505.69,39700.15,142238513.59,-97.49252366039575,29.456737109703468
8,Fayette,Texas,12594024.74,10532990.65,135203.64,77502.18,121746756.55,-96.91972530975261,29.876776975150324
9,Comal,Texas,7251695.8,6504654.82,671987.42,326348.46,38588249.19,-98.27823486351507,29.808176892193856
10,San Patricio,Texas,7338162.56,10156304.88,113908.68,177550.92,91783014.32,-97.5186346529378,28.009545657920025
11,Colorado,Texas,8516851.48,9935690.53,110295.35,59279.19,128021977.42,-96.5262938766487,29.620810751750938
12,Duval,Texas,6780255.18,29456451.78,34447.72,29694.96,262735627.71,-98.50890228857756,27.681332616407232
13,Starr,Texas,7498135.88,20975146.26,85276.39,144455.85,180207811.94,-98.73845486708493,26.562116970624142
14,Edwards,Texas,6568929.24,51381972.94,6972.65,7666.29,156585990.56,-100.30473729747192,29.982615608392845
15,Brooks,Texas,2482723.28,15432379.61,16694.51,16488.45,140744289.2,-98.21871577167059,27.031568185440893
16,Guadalupe,Texas,7300145.21,7598577.0,500078.02,413703.15,89602524.1,-97.94860230285947,29.583021459321905
17,Galveston,Texas,8227730.84,182499.76,728533.75,856201.95,18120039.73,-94.96338505535739,29.393882189194148
18,Frio,Texas,4463098.04,13469475.08,36549.93,31690.23,162120039.81,-99.10827502568715,28.867795387794647
19,Fort Bend,Texas,10680480.82,5651545.61,1553098.59,1838404.17,84925701.79,-95.7708032755062,29.527573180387044
20,Maverick,Texas,1915294.39,17433905.55,70276.84,135864.33,180708066.89,-100.31448956564276,28.74256082976592
21,Jackson,Texas,5602186.31,10365034.05,45855.78,37259.09,112966458.96,-96.57874606910448,28.955752790149422
22,DeWitt,Texas,10116160.19,11544672.89,111531.42,54072.16,121593416.88,-97.35679667190392,29.082061997405333
23,Dimmit,Texas,2581086.48,16488177.64,18869.26,25741.04,196879338.2,-99.75672606309375,28.422529431654077
24,Matagorda,Texas,7916029.76,8710420.28,90291.81,91308.05,121650386.88,-95.98553130212723,28.866839559676876
25,Medina,Texas,11099775.17,16577707.54,195756.73,94304.19,157118680.0,-99.11013276135522,29.355695470093423
26,Hidalgo,Texas,22770911.64,14672812.09,1401857.68,1929556.16,190515532.25,-98.18111281597972,26.39671952669338
27,Chambers,Texas,3901139.42,3520855.11,183821.1,99595.87,51833731.15,-94.60824651436063,29.739032457668333
28,Calhoun,Texas,3437158.64,3327959.92,47618.12,61367.56,43669641.89,-96.64735868584489,28.490759415979916
29,Caldwell,Texas,6753603.69,6044512.54,128964.96,75522.79,70431627.43,-97.61996390201813,29.83701163225521
30,Hays,Texas,8794231.12,8766471.66,457874.53,412394.47,56744337.13,-98.03107048753026,30.057985440806704
31,Harris,Texas,31287779.68,1875590.85,10919780.76,8669908.5,58522609.71,-95.39228434680135,29.857301003319844
32,Cameron,Texas,21844374.64,4577655.5,735973.54,869292.76,85811666.28,-97.53184738794457,26.127809475508165
33,Webb,Texas,7690794.37,56985634.14,349974.3,466155.47,492786120.96,-99.33153978994211,27.761057104022306
34,Waller,Texas,5346213.04,4265720.43,223812.0,83547.21,65273351.72,-95.98763590847514,30.011097117037394
35,Washington,Texas,7146051.45,6817151.17,238996.27,87388.65,72131802.42,-96.40344813220642,30.214577403571408
36,Kleberg,Texas,2967476.26,10635658.42,58044.52,66900.96,108724407.38,-97.73378808829371,27.4341559442085
37,Kinney,Texas,1845117.31,25676090.48,8351.63,7706.93,159893718.43,-100.41795431759016,29.350216838641945
38,Bandera,Texas,8687682.41,9564779.79,49549.07,54270.23,35911366.42,-99.24628230482433,29.747188162095522
39,Atascosa,Texas,9944695.26,15063263.09,110199.16,97295.35,175415540.43,-98.52794671185607,28.890674518741612
40,Austin,Texas,7486064.6,6487207.14,180333.33,78047.35,80769905.75,-96.27790800225645,29.886927153993682
41,Wilson,Texas,8505186.43,11011303.34,186470.26,117626.23,113236561.56,-98.08657337759158,29.174002380277674
42,Jim Wells,Texas,7694743.92,12281089.91,94392.9,100129.39,125152743.92,-98.08993921791968,27.731284857165626
43,Jim Hogg,Texas,1806249.08,24571141.39,15065.76,14511.06,178341856.89,-98.69729762625009,27.04339756380324
44,Bee,Texas,7416735.45,12313030.33,61732.21,61295.13,123942138.1,-97.74119209896581,28.417400207465196
45,Bexar,Texas,15754904.17,5690156.8,5749218.88,4916184.75,81365663.15,-98.52003839753161,29.448951730243834
46,Victoria,Texas,6778140.38,9850471.81,176438.31,213946.82,113494273.46,-96.97176351032,28.7964152294739
47,Val Verde,Texas,6699529.37,60180269.9,66964.63,114665.89,221521339.2,-101.15174569309995,29.892996641581966
48,Uvalde,Texas,7606072.31,22023954.05,67263.74,61361.34,156089253.47,-99.76219910739279,29.357329186164744
49,Kenedy,Texas,718436.53,18390291.16,4223.54,525.62,193218618.17,-97.71870254266881,26.928113888133737
50,Kerr,Texas,12039573.11,21201885.76,178048.04,138701.6,82424885.24,-99.35010321841598,30.061530928885894
51,Aransas,Texas,2345890.03,414005.44,38885.85,73609.06,10547480.53,-96.99729009004555,28.13308054214938
52,Wharton,Texas,10047022.7,13362238.65,271831.3,103397.34,149921872.77,-96.22213493448267,29.27787004976935
53,Willacy,Texas,4373284.04,8125481.5,33725.92,47986.03,79156184.12,-97.67358275969914,26.470263010774854
54,Real,Texas,4853230.29,10960152.35,6334.56,7884.25,26219916.77,-99.8221297491216,29.83177601786418
55,Kendall,Texas,7176550.92,10356968.91,130348.02,104400.27,34171234.17,-98.71155372058114,29.94469862881701
56,Karnes,Texas,7774496.28,12265864.23,39791.13,32543.78,106511264.23,-97.85940065000327,28.905739136781527
57,Brazoria,Texas,13210288.93,4760063.62,736214.16,811213.17,109994712.61,-95.45515650944898,29.190842175236632
58,La Salle,Texas,3361021.73,17471145.53,13383.96,12878.38,215035591.38,-99.09968868852533,28.34506880961384
59,Lavaca,Texas,9594029.88,10798561.36,137518.19,59627.48,130788259.28,-96.93014444097247,29.38433990406354
60,Lafayette,Louisiana,5590934.72,584245.86,2201195.45,546898.3,22050169.51,-92.06397374183476,30.20628391577031
61,Lafourche,Louisiana,4319685.36,562445.36,407772.59,280610.47,26140862.91,-90.44428513067739,29.579363047663225
62,Jefferson,Louisiana,3072638.63,1434.86,1701736.42,1671561.81,1287772.2,-90.13438819491739,29.82301432406209
63,Okeechobee,Florida,5082757.05,1423468.67,181175.84,75226.55,68457353.61,-80.8885574314465,27.38628409772837
64,Orange,Florida,8218776.58,289735.7,5221253.12,2524268.62,29232249.01,-81.3238026507592,28.514714040926574
65,Osceola,Florida,4515779.67,1311685.38,985189.16,564891.96,93071665.69,-81.14928007836039,28.062644398106116
66,Palm Beach,Florida,9296120.58,7791357.07,4090482.99,2922818.23,126046227.68,-80.46748922806675,26.646893099368903
67,Orleans,Louisiana,3061039.54,0.0,1020449.84,903061.13,651979.72,-89.9310652918943,30.068827236877226
68,Putnam,Florida,6747613.18,2027022.42,203562.79,144341.26,55978049.42,-81.74424023483044,29.608605705585884
