,name,state_name,land_wind_,util_pv_te,longitude,latitude
0,Zapata,Texas,15732926.06,152028996.91,-99.16890618309964,26.999664382235924
1,Zavala,Texas,18074002.69,191549852.94,-99.76060321884738,28.8661977378236
2,McMullen,Texas,18944452.3,166058173.79,-98.56749073898008,28.34905000228968
3,Live Oak,Texas,19677746.8,147176682.62,-98.12478349194015,28.35136692775269
4,Refugio,Texas,8630486.13,101290200.41,-97.1666229573429,28.326380251659923
5,Nueces,Texas,10556578.47,103322186.3,-97.62719022379598,27.724379950986588
6,Goliad,Texas,10284738.2,118767489.52,-97.42647937685805,28.65707551000779
7,Gonzales,Texas,12979919.55,142238513.59,-97.49252366039575,29.456737109703468
8,Fayette,Texas,10532990.65,121746756.55,-96.91972530975261,29.876776975150324
9,Comal,Texas,6504654.82,38588249.19,-98.27823486351507,29.808176892193856
10,San Patricio,Texas,10156304.88,91783014.32,-97.5186346529378,28.009545657920025
11,Colorado,Texas,9935690.53,128021977.42,-96.5262938766487,29.620810751750938
12,Duval,Texas,29456451.78,262735627.71,-98.50890228857756,27.681332616407232
13,Starr,Texas,20975146.26,180207811.94,-98.73845486708493,26.562116970624142
14,Edwards,Texas,51381972.94,156585990.56,-100.30473729747192,29.982615608392845
15,Brooks,Texas,15432379.61,140744289.2,-98.21871577167059,27.031568185440893
16,Guadalupe,Texas,7598577.0,89602524.1,-97.94860230285947,29.583021459321905
17,Galveston,Texas,182499.76,18120039.73,-94.96338505535739,29.393882189194148
18,Frio,Texas,13469475.08,162120039.81,-99.10827502568715,28.867795387794647
19,Fort Bend,Texas,5651545.61,84925701.79,-95.7708032755062,29.527573180387044
20,Maverick,Texas,17433905.55,180708066.89,-100.31448956564276,28.74256082976592
21,Jackson,Texas,10365034.05,112966458.96,-96.57874606910448,28.955752790149422
22,DeWitt,Texas,11544672.89,121593416.88,-97.35679667190392,29.082061997405333
23,Dimmit,Texas,16488177.64,196879338.2,-99.75672606309375,28.422529431654077
24,Matagorda,Texas,8710420.28,121650386.88,-95.98553130212723,28.866839559676876
25,Medina,Texas,16577707.54,157118680.0,-99.11013276135522,29.355695470093423
26,Hidalgo,Texas,14672812.09,190515532.25,-98.18111281597972,26.39671952669338
27,Chambers,Texas,3520855.11,51833731.15,-94.60824651436063,29.739032457668333
28,Calhoun,Texas,3327959.92,43669641.89,-96.64735868584489,28.490759415979916
29,Caldwell,Texas,6044512.54,70431627.43,-97.61996390201813,29.83701163225521
30,Hays,Texas,8766471.66,56744337.13,-98.03107048753026,30.057985440806704
31,Harris,Texas,1875590.85,58522609.71,-95.39228434680135,29.857301003319844
32,Cameron,Texas,4577655.5,85811666.28,-97.53184738794457,26.127809475508165
33,Webb,Texas,56985634.14,492786120.96,-99.33153978994211,27.761057104022306
34,Waller,Texas,4265720.43,65273351.72,-95.98763590847514,30.011097117037394
35,Washington,Texas,6817151.17,72131802.42,-96.40344813220642,30.214577403571408
36,Kleberg,Texas,10635658.42,108724407.38,-97.73378808829371,27.4341559442085
37,Kinney,Texas,25676090.48,159893718.43,-100.41795431759016,29.350216838641945
38,Bandera,Texas,9564779.79,35911366.42,-99.24628230482433,29.747188162095522
39,Atascosa,Texas,15063263.09,175415540.43,-98.52794671185607,28.890674518741612
40,Austin,Texas,6487207.14,80769905.75,-96.27790800225645,29.886927153993682
41,Wilson,Texas,11011303.34,113236561.56,-98.08657337759158,29.174002380277674
42,Jim Wells,Texas,12281089.91,125152743.92,-98.08993921791968,27.731284857165626
43,Jim Hogg,Texas,24571141.39,178341856.89,-98.69729762625009,27.04339756380324
44,Bee,Texas,12313030.33,123942138.1,-97.74119209896581,28.417400207465196
45,Bexar,Texas,5690156.8,81365663.15,-98.52003839753161,29.448951730243834
46,Victoria,Texas,9850471.81,113494273.46,-96.97176351032,28.7964152294739
47,Val Verde,Texas,60180269.9,221521339.2,-101.15174569309995,29.892996641581966
48,Uvalde,Texas,22023954.05,156089253.47,-99.76219910739279,29.357329186164744
49,Kenedy,Texas,18390291.16,193218618.17,-97.71870254266881,26.928113888133737
50,Kerr,Texas,21201885.76,82424885.24,-99.35010321841598,30.061530928885894
51,Aransas,Texas,414005.44,10547480.53,-96.99729009004555,28.13308054214938
52,Wharton,Texas,13362238.65,149921872.77,-96.22213493448267,29.27787004976935
53,Willacy,Texas,8125481.5,79156184.12,-97.67358275969914,26.470263010774854
54,Real,Texas,10960152.35,26219916.77,-99.8221297491216,29.83177601786418
55,Kendall,Texas,10356968.91,34171234.17,-98.71155372058114,29.94469862881701
56,Karnes,Texas,12265864.23,106511264.23,-97.85940065000327,28.905739136781527
57,Brazoria,Texas,4760063.62,109994712.61,-95.45515650944898,29.190842175236632
58,La Salle,Texas,17471145.53,215035591.38,-99.09968868852533,28.34506880961384
59,Lavaca,Texas,10798561.36,130788259.28,-96.93014444097247,29.38433990406354
60,Lafayette,Louisiana,584245.86,22050169.51,-92.06397374183476,30.20628391577031
61,Lafourche,Louisiana,562445.36,26140862.91,-90.44428513067739,29.579363047663225
62,Jefferson,Louisiana,1434.86,1287772.2,-90.13438819491739,29.82301432406209
63,Okeechobee,Florida,1423468.67,68457353.61,-80.8885574314465,27.38628409772837
64,Orange,Florida,289735.7,29232249.01,-81.3238026507592,28.514714040926574
65,Osceola,Florida,1311685.38,93071665.69,-81.14928007836039,28.062644398106116
66,Palm Beach,Florida,7791357.07,126046227.68,-80.46748922806675,26.646893099368903
67,Orleans,Louisiana,0.0,651979.72,-89.9310652918943,30.068827236877226
