Name,URL,State,Category,IncentiveType,Created
Net Metering,https://programs.dsireusa.org/system/program/detail/3734/net-metering,AK,Regulatory Policy,Net Metering,10/22/2009
Weatherization Program,https://programs.dsireusa.org/system/program/detail/5618/weatherization-program,AK,Financial Incentive,Grant Program,11/17/2014
Local Option - Property Tax Exemption for Renewable Energy Systems,https://programs.dsireusa.org/system/program/detail/4449/local-option-property-tax-exemption-for-renewable-energy-systems,AK,Financial Incentive,Property Tax Incentive,11/11/2010
Golden Valley Electric Association - Sustainable Natural Alternative Power (SNAP) Program,https://programs.dsireusa.org/system/program/detail/1264/golden-valley-electric-association-sustainable-natural-alternative-power-snap-program,AK,Financial Incentive,Performance-Based Incentive,12/13/2005
Chugach Electric - Residential EV Charging Program,https://programs.dsireusa.org/system/program/detail/22264/chugach-electric-residential-ev-charging-program,AK,Financial Incentive,Rebate Program,7/1/2021
Chugach Electric - Commercial EV Charging Program,https://programs.dsireusa.org/system/program/detail/22265/chugach-electric-commercial-ev-charging-program,AK,Financial Incentive,Rebate Program,7/1/2021
Chugach Electric - EV Workplace Charging Program,https://programs.dsireusa.org/system/program/detail/22266/chugach-electric-ev-workplace-charging-program,AK,Financial Incentive,Rebate Program,7/1/2021
Chugach Electric - EV Hotel Charging Program,https://programs.dsireusa.org/system/program/detail/22267/chugach-electric-ev-hotel-charging-program,AK,Financial Incentive,Rebate Program,7/1/2021
Chugach Electric - Fleet EV Charging Program,https://programs.dsireusa.org/system/program/detail/22268/chugach-electric-fleet-ev-charging-program,AK,Financial Incentive,Rebate Program,7/1/2021
Alaska Power and Telephone - AMP-UP Program,https://programs.dsireusa.org/system/program/detail/22263/alaska-power-and-telephone-amp-up-program,AK,Financial Incentive,Rebate Program,7/1/2021
Alaska Solar Easements,https://programs.dsireusa.org/system/program/detail/6/alaska-solar-easements,AK,Regulatory Policy,Solar/Wind Access Policy,1/1/2000
Interconnection Guidelines,https://programs.dsireusa.org/system/program/detail/4824/interconnection-guidelines,AK,Regulatory Policy,Interconnection,5/13/2011
Energy Efficiency Revolving Loan Fund Program,https://programs.dsireusa.org/system/program/detail/4448/energy-efficiency-revolving-loan-fund-program,AK,Financial Incentive,Loan Program,11/11/2010
Association Loan Program,https://programs.dsireusa.org/system/program/detail/1499/association-loan-program,AK,Financial Incentive,Loan Program,5/18/2006
Second Mortgage Program for Energy Conservation,https://programs.dsireusa.org/system/program/detail/2994/second-mortgage-program-for-energy-conservation,AK,Financial Incentive,Loan Program,7/7/2008
Energy Efficiency Interest Rate Reduction Program,https://programs.dsireusa.org/system/program/detail/1497/energy-efficiency-interest-rate-reduction-program,AK,Financial Incentive,Loan Program,5/18/2006
Small Building Material Loan,https://programs.dsireusa.org/system/program/detail/1498/small-building-material-loan,AK,Financial Incentive,Loan Program,5/18/2006
Power Project Loan Fund,https://programs.dsireusa.org/system/program/detail/115/power-project-loan-fund,AK,Financial Incentive,Loan Program,1/1/2000
Building Energy Code,https://programs.dsireusa.org/system/program/detail/1907/building-energy-code,AK,Regulatory Policy,Building Energy Code,8/1/2006
Renewable Energy Grant Program,https://programs.dsireusa.org/system/program/detail/3080/renewable-energy-grant-program,AK,Financial Incentive,Grant Program,9/23/2008
Electric Transportation Infrastructure Grant Program,https://programs.dsireusa.org/system/program/detail/22145/electric-transportation-infrastructure-grant-program,AL,Financial Incentive,Grant Program,5/18/2021
Building Energy Code,https://programs.dsireusa.org/system/program/detail/1823/building-energy-code,AL,Regulatory Policy,Building Energy Code,7/21/2006
Local Government Energy Loan Program,https://programs.dsireusa.org/system/program/detail/1203/local-government-energy-loan-program,AL,Financial Incentive,Loan Program,7/8/2005
Electric Vehicle Charging Infrastructure Program,https://programs.dsireusa.org/system/program/detail/22146/electric-vehicle-charging-infrastructure-program,AL,Financial Incentive,Grant Program,5/18/2021
Alabama Power - Hybrid Water Heater Rebate,https://programs.dsireusa.org/system/program/detail/22059/alabama-power-hybrid-water-heater-rebate,AL,Financial Incentive,Rebate Program,7/26/2018
Central Alabama Electric Cooperative - Residential Energy Efficiency Loan Program,https://programs.dsireusa.org/system/program/detail/22132/central-alabama-electric-cooperative-residential-energy-efficiency-loan-program,AL,Financial Incentive,Loan Program,7/31/2020
Alabama Commercial PACE financing program,https://programs.dsireusa.org/system/program/detail/5799/alabama-commercial-pace-financing-program,AL,Financial Incentive,PACE Financing,7/8/2015
Dixie Electric Cooperative - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/1970/dixie-electric-cooperative-residential-energy-efficiency-rebate-program,AL,Financial Incentive,Rebate Program,8/17/2006
Dixie Electric Cooperative - Residential Energy Efficiency Loan Program,https://programs.dsireusa.org/system/program/detail/1968/dixie-electric-cooperative-residential-energy-efficiency-loan-program,AL,Financial Incentive,Loan Program,8/17/2006
Wood-Burning Heating System Deduction,https://programs.dsireusa.org/system/program/detail/46/wood-burning-heating-system-deduction,AL,Financial Incentive,Personal Tax Deduction,1/1/2000
South Alabama Electric Cooperative - Residential Energy Efficiency Loan Program,https://programs.dsireusa.org/system/program/detail/1990/south-alabama-electric-cooperative-residential-energy-efficiency-loan-program,AL,Financial Incentive,Loan Program,8/18/2006
Central Alabama Electric Cooperative - Residential Energy Efficiency Rebate Program,https://programs.dsireusa.org/system/program/detail/1958/central-alabama-electric-cooperative-residential-energy-efficiency-rebate-program,AL,Financial Incentive,Rebate Program,8/17/2006
Wiregrass Electric Cooperative - H2O Plus Program,https://programs.dsireusa.org/system/program/detail/2024/wiregrass-electric-cooperative-h2o-plus-program,AL,Financial Incentive,Rebate Program,8/24/2006
Local Option- Property Tax Exemption for Renewable Energy Faclities,https://programs.dsireusa.org/system/program/detail/5943/local-option-property-tax-exemption-for-renewable-energy-faclities,AL,Financial Incentive,Property Tax Incentive,11/16/2016
Alabama Power - Residential Heat Pump Loan Program,https://programs.dsireusa.org/system/program/detail/1469/alabama-power-residential-heat-pump-loan-program,AL,Financial Incentive,Loan Program,5/8/2006
Voluntary Green Building Standards for Public Buildings,https://programs.dsireusa.org/system/program/detail/5857/voluntary-green-building-standards-for-public-buildings,AL,Regulatory Policy,Energy Standards for Public Buildings,2/1/2016
