year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,US,UT,VA,VT,WA,WI,WV,WY
1989,9188,165031,86235,15620,231921,11254,31371,2511,2438,204545,177542,26984,52636,25759,93469,54394,15008,26874,129114,62436,36827,118406,103262,52922,24651,76395,10687,94410,2770,6402,26553,36987,4247,2462,119813,97440,25306,84523,82469,3725,75673,3289,75856,109811,3033976,3544,91271,9085,108226,107998,11935,2700
1990,8169,143683,70592,13741,218424,10907,28711,1282,1569,170298,187618,25924,47818,23469,69634,46888,11751,17362,118185,52055,26519,108995,80247,48848,17949,84840,11654,97501,1939,4457,27230,25351,3888,2850,97387,66113,21420,57715,61362,4357,71702,2219,56499,95973,2626115,3441,90442,5278,93429,81327,5009,2095
1991,7954,143162,71412,14585,214009,12395,30303,1344,1645,182447,182590,25446,47348,23412,71166,46791,11999,18196,120457,54712,26869,117335,86227,49408,18645,89472,17052,75935,2029,4670,24322,35277,4066,2987,95097,70779,21066,55081,69518,4439,75092,2324,60931,96362,2653799,3605,94517,6317,73889,81702,5250,2163
1992,8753,148742,76255,15095,225736,11507,34470,1411,1691,199297,183481,24901,45655,25063,71921,46995,12111,18758,123798,57721,27672,122617,89142,52848,19221,90783,10001,99734,2120,4969,27770,37870,4221,3136,104515,66658,19677,45389,80199,4693,76301,2402,61243,105781,2786668,3762,98100,6477,95374,83776,5293,1561
1993,7067,174850,85755,13594,191699,11118,34758,1945,2395,184714,193872,24388,43480,24811,53276,38098,10903,15157,124571,60375,32028,124594,81366,52142,16933,92379,9741,105578,1817,4267,27877,36266,4090,3369,117294,44170,22946,43603,79500,5041,79694,2112,55133,98038,2736942,3727,104802,8114,96463,78650,6942,1440
1994,9656,214463,82478,13459,192715,10627,35346,1848,2330,181822,195956,20724,40818,23622,51009,36335,10291,14897,136914,63487,32125,120409,84316,53450,15914,94751,10064,112306,2308,4100,25252,40712,3944,3201,121991,69012,24095,45054,82955,4926,83212,2057,56614,97504,2839141,3552,109892,8340,96294,83460,6849,1686
1995,8305,221956,82933,14380,172906,10748,42241,1850,2381,186258,205634,19803,40825,25235,52191,37204,10347,15499,141446,63255,36801,126184,88158,56204,16254,94065,16400,111468,2605,4176,25314,42513,3983,3204,122599,65285,24537,45882,91526,4942,88934,2102,60440,99476,2901344,3580,115362,9119,90131,86117,7116,1473
1996,8046,208622,87769,12790,167589,10947,49396,1921,2543,206049,208259,19066,48281,26022,59268,38619,10459,18531,142103,65776,40451,124116,102854,57149,16971,85579,15730,109502,2417,7773,27749,40401,4011,3555,139207,74217,29277,52115,99049,5413,100228,2191,55966,98843,3014016,3797,121001,9114,89664,95062,7257,1297
1997,3719,181859,86884,14517,151226,11798,45948,1377,2101,196914,218529,17433,40383,28360,53157,32152,8411,12955,138651,61397,36547,124454,95028,55636,14273,84113,16174,107035,2253,6317,25682,38457,4534,4488,177683,68311,25268,52574,90766,4230,101635,1855,47262,102604,2919211,4397,112462,9024,94158,96911,5909,1401
1998,1886,209183,81960,10834,141059,10577,44385,1220,1833,171706,202938,16548,37255,27075,46561,30163,7674,11149,136187,55485,34558,113231,90401,50864,13267,63943,14701,100786,2222,5803,24266,37921,4046,3965,159030,62269,24732,46147,85295,4070,93417,1628,46492,93655,2726455,3888,109221,8090,87123,89420,5092,1232
1999,1775,210656,82147,11223,150581,11148,44706,1257,1889,171555,202675,16981,37539,27835,49492,30363,7856,11459,139590,54773,35947,120655,91627,50496,13347,64858,15323,101715,2347,5936,24434,38965,4165,4084,165159,69146,22772,40919,88360,4300,79554,1677,50029,78136,2754325,5366,112524,8400,89066,92999,5248,1270
2000,1898,203782,83466,11924,158300,11300,44944,1352,2181,164002,196564,15194,31558,27553,44917,27960,7634,11738,136388,58184,36049,126280,94559,54396,13980,75116,15260,103898,2549,5662,24022,39435,4431,4371,174136,72506,24097,45772,89178,4432,76662,1765,52818,81486,2772517,5662,106096,8773,89202,92142,5594,1350
2001,2973,165015,66816,8366,156150,6837,26546,863,1207,127298,164904,7947,27660,28118,41960,32747,7971,12652,127962,40329,20844,118705,76555,54413,17841,55777,11881,100190,3516,7648,19913,28097,2962,3332,111126,44883,24104,51534,77610,3831,57739,1804,64355,70681,2374073,3356,81614,8043,92656,98954,4846,939
2002,3193,162766,72938,8153,162059,6380,24535,878,1190,144135,255738,7480,30789,22008,44134,33785,8118,21150,131270,37392,20982,112125,70663,46271,16571,49310,10974,89356,2644,8238,17254,27507,2914,3134,107391,32153,20642,45176,72534,3630,66314,1677,63522,81349,2397288,3369,67446,11228,87636,72173,4164,851
2003,3261,155066,80378,8451,155300,6643,25105,922,1246,157601,179384,9305,30503,22469,44389,33839,8305,24631,138817,38933,27109,100123,81115,43900,17114,44925,11954,108238,2695,8628,16335,24966,2814,3276,110169,41460,23150,41750,73779,3695,66449,1755,58291,78914,2403388,3407,85255,12217,95670,84474,4322,888
2004,3324,184143,75878,8607,155751,7338,25094,939,1270,148999,189388,9336,30567,25708,44709,34600,8411,26406,173792,40481,28044,102306,84287,52756,17602,60777,12523,84922,3283,8576,21698,25145,2873,3355,116214,42482,26472,45474,74421,3762,72671,1794,71581,74834,2510296,3504,94033,9988,92552,72360,4360,911
